"","value"
"155","https://lopezobrador.org.mx/2020/01/03/version-estenografica-dialogo-con-pueblos-indigenas-en-san-pablo-del-monte-tlaxcala/"
"156","https://lopezobrador.org.mx/2020/01/03/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-227/"
"157","https://lopezobrador.org.mx/2020/01/02/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-226/"
"158","https://lopezobrador.org.mx/2019/12/27/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-225/"
"159","https://lopezobrador.org.mx/2019/12/26/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-224/"
"160","https://lopezobrador.org.mx/2019/12/24/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-223/"
"161","https://lopezobrador.org.mx/2019/12/23/version-estenografica-visita-a-la-lumbrera-19-del-tunel-emisor-oriente-en-huehuetoca-estado-de-mexico/"
"162","https://lopezobrador.org.mx/2019/12/23/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-222/"
"163","https://lopezobrador.org.mx/2019/12/22/version-estenografica-visita-al-complejo-termoelectrico-general-manuel-alvarez-moreno-en-manzanillo-colima/"
"164","https://lopezobrador.org.mx/2019/12/21/version-estenografica-inauguracion-de-la-unidad-18-de-la-central-los-azufres-en-ciudad-hidalgo-michoacan/"
"165","https://lopezobrador.org.mx/2019/12/20/version-estenografica-visita-a-la-central-de-ciclo-combinado-el-sauz-desde-pedro-escobedo-queretaro/"
"166","https://lopezobrador.org.mx/2019/12/20/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-221/"
"167","https://lopezobrador.org.mx/2019/12/19/version-estenografica-instalacion-de-la-junta-de-gobierno-del-instituto-de-salud-para-el-bienestar-en-palacio-nacional/"
"168","https://lopezobrador.org.mx/2019/12/19/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-220/"
"169","https://lopezobrador.org.mx/2019/12/18/version-estenografica-xlv-sesion-ordinaria-del-consejo-nacional-de-seguridad-publica-en-palacio-nacional/"
"170","https://lopezobrador.org.mx/2019/12/18/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-219/"
"171","https://lopezobrador.org.mx/2019/12/17/version-estenografica-de-la-conferencia-de-prensa-matutina-del-presidente-andres-manuel-lopez-obrador-218/"
